D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:2
H1:1
H2:1
H3:1
H4:1
R1:1
R2:1
R3:1
SW1:1
SW13:1
SW2:1
SW3:1
SW5:1
SW6:1
SW7:1
U1:1
